title,company,location,experience,salary,skills,description
Software Engineer,Meesho,Bangalore,2-4 years,14-22 LPA,"Python, Java, PostgreSQL, Kubernetes, Kafka",Social commerce platform features.
Data Engineer,Myntra,Bangalore,3-5 years,14-22 LPA,"Python, Spark, Hive, SQL, Airflow",Fashion recommendation data pipelines.
Backend Engineer,CRED,Bangalore,3-6 years,20-35 LPA,"Python, Go, PostgreSQL, Redis, gRPC",High-performance fintech APIs.
Python Developer,Juspay,Bangalore,2-5 years,12-20 LPA,"Python, Haskell, PostgreSQL, AWS, Docker",Payment gateway development.
ML Engineer,ShareChat,Bangalore,2-4 years,12-20 LPA,"Python, NLP, TensorFlow, Spark, SQL",Content moderation and recommendation systems.
Data Scientist,Lenskart,Gurgaon,2-4 years,10-16 LPA,"Python, Machine Learning, SQL, R, Pandas",Personalization and demand forecasting.
Software Developer,InMobi,Bangalore,2-4 years,14-20 LPA,"Python, Java, Spark, Kafka, PostgreSQL",Mobile ad-tech platform engineering.
Python Developer,Freshdesk,Chennai,1-3 years,7-12 LPA,"Python, Ruby on Rails, MySQL, Redis, AWS",Customer support SaaS platform.
Backend Developer,UrbanClap,Gurgaon,2-4 years,10-16 LPA,"Python, Django, PostgreSQL, Redis, Celery",Services marketplace platform.
Data Analyst,BigBasket,Bangalore,1-3 years,6-11 LPA,"Python, SQL, Excel, Tableau, Power BI",Supply chain and inventory analytics.
Python Developer,Dunzo,Bangalore,1-3 years,8-14 LPA,"Python, Flask, MongoDB, Redis, GCP",Quick commerce backend.
ML Engineer,Licious,Bangalore,2-4 years,10-18 LPA,"Python, Machine Learning, Pandas, SQL, AWS",Demand prediction for perishable goods.
Data Engineer,Ajio,Bangalore,3-5 years,12-20 LPA,"Python, Spark, Hive, Airflow, Kafka",Retail analytics pipeline.
Python Developer,PolicyBazaar,Gurgaon,2-4 years,9-15 LPA,"Python, Django, MySQL, REST APIs, Celery",Insurance aggregator platform.
Backend Engineer,Groww,Bangalore,2-5 years,16-26 LPA,"Python, Java, PostgreSQL, Kafka, Redis",Investments and trading platform.
Python Developer,Zerodha,Bangalore,3-6 years,20-35 LPA,"Python, Go, PostgreSQL, Redis, Linux",Online brokerage platform development.
Data Scientist,WakeFit,Bangalore,2-4 years,10-16 LPA,"Python, Machine Learning, SQL, Pandas, Tableau",Customer segmentation and pricing.
Software Engineer,MakeMyTrip,Gurgaon,2-4 years,10-16 LPA,"Python, Java, MySQL, Redis, Elasticsearch",Travel booking platform engineering.
Python Developer,OYO,Gurgaon,2-4 years,10-18 LPA,"Python, Django, PostgreSQL, Docker, AWS",Hospitality tech platform.
Backend Developer,Udaan,Bangalore,3-5 years,16-26 LPA,"Python, Java, Kafka, PostgreSQL, Docker",B2B e-commerce platform.
